sim_time_ns,instance_id,npu_used_bytes,npu_total_bytes,cpu_used_bytes,cpu_total_bytes,cxl_used_bytes,cxl_total_bytes,npu_prefix_tokens,storage_prefix_tokens,evictable_tokens,protected_tokens,npu_hit_total,storage_hit_total,npu_hit_interval,storage_hit_interval,npu_hit_rate_interval,prompt_throughput,gen_throughput,evict_npu_to_cpu_bytes_total,load_cpu_to_npu_bytes_total,evict_npu_to_cxl_bytes_total,load_cxl_to_npu_bytes_total,evict_npu_prefix_bytes_total,evict_storage_prefix_bytes_total,prefix_load_storage_to_npu_bytes_total,harp_hot_reqs,harp_shadow_reqs,harp_cold_reqs,harp_prefetch_remaining_bytes,harp_prefetch_overlap_ratio,harp_stall_time_ns_total,harp_shadow_hit_rate
56500000000,0,28175769600,28868622680,16018046976,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,16078864384,60817408,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
57000000000,0,28028968960,28868622680,16343105536,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,16403922944,60817408,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
57500000000,0,28186255360,28868622680,16343105536,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,16403922944,60817408,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
58000000000,0,28158992384,28868622680,16603152384,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,16663969792,60817408,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
58500000000,0,28085592064,28868622680,16919822336,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,16980639744,60817408,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
59000000000,0,28242878464,28868622680,16919822336,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,16980639744,60817408,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
59500000000,0,28316278784,28868622680,16919822336,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,16980639744,60817408,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
60000000000,0,28236587008,28868622680,17238589440,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,17299406848,60817408,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
60500000000,0,28307890176,28868622680,17238589440,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,17299406848,60817408,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
61000000000,0,28213518336,28868622680,17496539136,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,17557356544,60817408,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
61500000000,0,28188352512,28868622680,17756585984,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,17817403392,60817408,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
62000000000,0,28291112960,28868622680,17756585984,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,17817403392,60817408,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
62500000000,0,28247072768,28868622680,18016632832,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,18077450240,60817408,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
63000000000,0,28343541760,28868622680,18016632832,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,18077450240,60817408,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
63500000000,0,28179963904,28868622680,18339594240,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,18400411648,60817408,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
64000000000,0,28276432896,28868622680,18339594240,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,18400411648,60817408,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
64500000000,0,28161089536,28868622680,18664652800,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,18725470208,60817408,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
65000000000,0,28354027520,28868622680,18664652800,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,18725470208,60817408,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
65500000000,0,28188352512,28868622680,18924699648,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,18985517056,60817408,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
66000000000,0,28358221824,28868622680,18924699648,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,18985517056,60817408,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
66500000000,0,28240781312,28868622680,19256049664,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,19316867072,60817408,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
67000000000,0,28234489856,28868622680,19524485120,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,19585302528,60817408,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
