prefill_chunk,kv_prefill,n_decode,kv_decode,time_us
32,256,1,64,19.678
32,256,1,128,21.571
32,256,1,256,25.64
32,256,1,512,34.052
32,256,1,1024,50.708
32,256,1,2048,83.304
32,256,2,0,19.43
32,256,2,64,19.454
32,256,2,128,20.045
32,256,2,256,22.567
32,256,2,512,26.503
32,256,2,1024,34.649
32,256,2,2048,51.306
32,256,4,0,19.492
32,256,4,64,19.492
32,256,4,128,19.497
32,256,4,256,20.053
32,256,4,512,22.538
32,256,4,1024,26.527
32,256,4,2048,34.861
32,256,8,0,19.689
32,256,8,64,19.689
32,256,8,128,19.713
32,256,8,256,19.753
32,256,8,512,20.596
32,256,8,1024,22.614
32,256,8,2048,27.263
32,256,16,0,21.673
32,256,16,64,21.675
32,256,16,128,21.711
32,256,16,256,21.829
32,256,16,512,21.989
32,256,16,1024,22.5
32,256,16,2048,26.772
32,256,32,0,26.652
32,256,32,64,28.151
32,256,32,128,28.186
32,256,32,256,28.255
32,256,32,512,28.303
32,256,32,1024,28.511
32,256,32,2048,30.037
32,256,64,0,16.245
32,256,64,64,37.894
32,256,64,128,40.571
32,256,64,256,40.586
32,256,64,512,40.588
32,256,64,1024,40.748
32,256,64,2048,41.005
32,256,128,0,16.233
32,256,128,64,16.23
32,256,128,128,63.428
32,256,128,256,63.41
32,256,128,512,63.338
32,256,128,1024,63.361
32,256,128,2048,63.716
32,256,256,0,16.335
32,256,256,64,16.329
32,256,256,128,16.348
32,256,256,256,107.543
32,256,256,512,108.882
32,256,256,1024,109.102
32,256,256,2048,109.298
32,512,0,0,21.39
32,512,0,64,21.39
32,512,0,128,21.39
32,512,0,256,21.39
32,512,0,512,21.39
32,512,0,1024,21.39
32,512,0,2048,21.39
32,512,1,0,28.019
32,512,1,64,28.043
32,512,1,128,29.936
32,512,1,256,34.005
32,512,1,512,42.417
32,512,1,1024,59.073
32,512,1,2048,91.669
32,512,2,0,27.795
32,512,2,64,27.819
32,512,2,128,28.41
32,512,2,256,30.932
32,512,2,512,34.868
32,512,2,1024,43.014
32,512,2,2048,59.671
32,512,4,0,27.857
32,512,4,64,27.857
32,512,4,128,27.862
32,512,4,256,28.418
32,512,4,512,30.903
32,512,4,1024,34.892
32,512,4,2048,43.226
32,512,8,0,28.054
32,512,8,64,28.054
32,512,8,128,28.078
32,512,8,256,28.118
32,512,8,512,28.961
32,512,8,1024,30.979
32,512,8,2048,35.628
32,512,16,0,30.038
32,512,16,64,30.04
32,512,16,128,30.076
32,512,16,256,30.194
32,512,16,512,30.354
32,512,16,1024,30.865
32,512,16,2048,35.137
32,512,32,0,35.017
32,512,32,64,36.516
32,512,32,128,36.551
32,512,32,256,36.62
32,512,32,512,36.668
32,512,32,1024,36.876
32,512,32,2048,38.402
32,512,64,0,24.61
32,512,64,64,46.259
32,512,64,128,48.936
32,512,64,256,48.951
32,512,64,512,48.953
32,512,64,1024,49.113
32,512,64,2048,49.37
32,512,128,0,24.598
32,512,128,64,24.595
32,512,128,128,71.793
32,512,128,256,71.775
32,512,128,512,71.703
32,512,128,1024,71.726
32,512,128,2048,72.081
32,512,256,0,24.7
32,512,256,64,24.694
32,512,256,128,24.713
32,512,256,256,115.908
32,512,256,512,117.247
32,512,256,1024,117.467
32,512,256,2048,117.663
32,1024,0,0,38.078
32,1024,0,64,38.078
32,1024,0,128,38.078
32,1024,0,256,38.078
32,1024,0,512,38.078
32,1024,0,1024,38.078
32,1024,0,2048,38.078
32,1024,1,0,44.707
32,1024,1,64,44.731
32,1024,1,128,46.624
32,1024,1,256,50.693
32,1024,1,512,59.105
32,1024,1,1024,75.761
32,1024,1,2048,108.357
32,1024,2,0,44.483
32,1024,2,64,44.507
32,1024,2,128,45.098
32,1024,2,256,47.62
32,1024,2,512,51.556
32,1024,2,1024,59.702
32,1024,2,2048,76.359
32,1024,4,0,44.545
32,1024,4,64,44.545
32,1024,4,128,44.55
32,1024,4,256,45.106
32,1024,4,512,47.591
32,1024,4,1024,51.58
32,1024,4,2048,59.914
32,1024,8,0,44.742
32,1024,8,64,44.742
32,1024,8,128,44.766
32,1024,8,256,44.806
32,1024,8,512,45.649
32,1024,8,1024,47.667
32,1024,8,2048,52.316
32,1024,16,0,46.726
32,1024,16,64,46.728
32,1024,16,128,46.764
32,1024,16,256,46.882
32,1024,16,512,47.042
32,1024,16,1024,47.553
32,1024,16,2048,51.825
32,1024,32,0,51.705
32,1024,32,64,53.204
32,1024,32,128,53.239
32,1024,32,256,53.308
32,1024,32,512,53.356
32,1024,32,1024,53.564
32,1024,32,2048,55.09
32,1024,64,0,41.298
32,1024,64,64,62.947
32,1024,64,128,65.624
32,1024,64,256,65.639
32,1024,64,512,65.641
32,1024,64,1024,65.801
32,1024,64,2048,66.058
32,1024,128,0,41.286
32,1024,128,64,41.283
32,1024,128,128,88.481
32,1024,128,256,88.463
32,1024,128,512,88.391
32,1024,128,1024,88.414
32,1024,128,2048,88.769
32,1024,256,0,41.388
32,1024,256,64,41.382
32,1024,256,128,41.401
32,1024,256,256,132.596
32,1024,256,512,133.935
32,1024,256,1024,134.155
32,1024,256,2048,134.351
32,2048,0,0,70.118
32,2048,0,64,70.118
32,2048,0,128,70.118
32,2048,0,256,70.118
32,2048,0,512,70.118
32,2048,0,1024,70.118
32,2048,0,2048,70.118
32,2048,1,0,76.747
32,2048,1,64,76.771
32,2048,1,128,78.664
32,2048,1,256,82.733
32,2048,1,512,91.145
32,2048,1,1024,107.801
32,2048,1,2048,140.397
32,2048,2,0,76.523
32,2048,2,64,76.547
32,2048,2,128,77.138
32,2048,2,256,79.66
32,2048,2,512,83.596
32,2048,2,1024,91.742
32,2048,2,2048,108.399
32,2048,4,0,76.585
32,2048,4,64,76.585
32,2048,4,128,76.59
32,2048,4,256,77.146
32,2048,4,512,79.631
32,2048,4,1024,83.62
32,2048,4,2048,91.954
32,2048,8,0,76.782
32,2048,8,64,76.782
32,2048,8,128,76.806
32,2048,8,256,76.846
32,2048,8,512,77.689
32,2048,8,1024,79.707
32,2048,8,2048,84.356
32,2048,16,0,78.766
32,2048,16,64,78.768
32,2048,16,128,78.804
32,2048,16,256,78.922
32,2048,16,512,79.082
32,2048,16,1024,79.593
32,2048,16,2048,83.865
32,2048,32,0,83.745
32,2048,32,64,85.244
32,2048,32,128,85.279
32,2048,32,256,85.348
32,2048,32,512,85.396
32,2048,32,1024,85.604
32,2048,32,2048,87.13
32,2048,64,0,73.338
32,2048,64,64,94.987
32,2048,64,128,97.664
32,2048,64,256,97.679
32,2048,64,512,97.681
32,2048,64,1024,97.841
32,2048,64,2048,98.098
32,2048,128,0,73.326
32,2048,128,64,73.323
32,2048,128,128,120.521
32,2048,128,256,120.503
32,2048,128,512,120.431
32,2048,128,1024,120.454
32,2048,128,2048,120.809
32,2048,256,0,73.428
32,2048,256,64,73.422
32,2048,256,128,73.441
32,2048,256,256,164.636
32,2048,256,512,165.975
32,2048,256,1024,166.195
32,2048,256,2048,166.391
64,0,0,0,6.612
64,0,0,64,6.612
64,0,0,128,6.612
64,0,0,256,6.612
64,0,0,512,6.612
64,0,0,1024,6.612
64,0,0,2048,6.612
64,0,1,0,13.241
64,0,1,64,13.265
64,0,1,128,15.158
64,0,1,256,19.227
